symbol,close,off_high,range_position,base_type,div_count,div_indicators,div_last,universe,tradingview_chart,canslim,ai_analysis,new,first_seen,days_on_list
AAVEUSDT,87.69,-0.781,0.09,accumulation,4,MACD|MFI|WILLR|SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:AAVEUSDT,3/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+AAVEUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
XLMUSDT,0.2,-0.683,0.22,,3,MACD|MFI|SQUEEZE,2026-06-15,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:XLMUSDT,4/4 PASS,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+XLMUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
FILUSDT,0.79,-0.934,0.04,,2,MFI|SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:FILUSDT,2/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+FILUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
UNIUSDT,3.19,-0.836,0.07,accumulation,2,CMF|SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:UNIUSDT,3/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+UNIUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
SOLUSDT,81.68,-0.724,0.09,,2,CMF|SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:SOLUSDT,3/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+SOLUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
TIAUSDT,0.38,-0.982,0.01,,1,SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:TIAUSDT,2/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+TIAUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
SEIUSDT,0.05,-0.957,0.0,,1,SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:SEIUSDT,0/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+SEIUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
ETCUSDT,7.2,-0.82,0.02,,1,SQUEEZE,2026-06-29,CRYPTO,https://www.tradingview.com/chart/?symbol=BINANCE:ETCUSDT,0/4,https://www.google.com/search?udm=50&q=Act+as+an+equity+research+analyst+and+give+a+detailed+analysis+of+the+stock+with+ticker+ETCUSDT.+Structure+it+with+clear+sections%3A+a+short+company+overview%3B+the+core+bear+case%3B+the+bull+case+and+any+turnaround+or+growth+strategy%3B+a+financial+snapshot+table+of+key+metrics+%28revenue%2C+net+income%2C+margins%2C+free+cash+flow%29+with+latest+full-year+and+most+recent+quarter+figures%3B+the+current+technical+setup+and+key+price+levels+to+watch%3B+a+valuation-versus-risk+discussion%3B+and+a+summary+recommendation+framework+for+different+investor+types+%28value%2Fcontrarian+versus+income%2Frisk-averse%29.+Use+the+most+recent+available+data+and+finish+by+offering+a+deeper+follow-up.,NEW,2026-07-03,0
