symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
IQV,43,46.5,1.7,7318.0,33.0
CAH,46,52.2,1.59,7306.0,29.0
PSX,39,41.0,1.87,7289.0,31.0
PAYX,50,52.0,1.46,7283.0,28.0
AIZ,44,52.3,1.65,7259.0,32.0
FICO,40,50.0,1.81,7221.0,30.0
GEN,44,50.0,1.63,7189.0,29.0
EXPE,44,50.0,1.63,7179.0,32.0
TSCO,42,40.5,1.7,7129.0,30.0
RJF,45,42.2,1.58,7116.0,29.0
TYL,43,55.8,1.65,7107.0,31.0
FAST,44,47.7,1.61,7106.0,34.0
LHX,44,50.0,1.6,7059.0,29.0
PFG,41,56.1,1.72,7034.0,34.0
CHTR,36,47.2,1.94,6985.0,34.0
LITE,43,30.2,1.62,6969.0,25.0
GOOGL,45,60.0,1.55,6966.0,30.0
ADP,49,42.9,1.42,6952.0,29.0
C,45,44.4,1.54,6947.0,28.0
CASY,44,40.9,1.57,6899.0,33.0
LII,48,45.8,1.43,6887.0,28.0
ETR,52,50.0,1.31,6824.0,29.0
WMB,50,48.0,1.36,6823.0,30.0
MNST,45,48.9,1.49,6716.0,29.0
ADM,45,42.2,1.48,6681.0,28.0
AME,46,56.5,1.45,6670.0,30.0
STLD,41,39.0,1.62,6623.0,30.0
VTR,43,46.5,1.52,6557.0,29.0
MPWR,44,47.7,1.49,6553.0,30.0
GILD,55,43.6,1.19,6551.0,23.0
HST,51,47.1,1.28,6540.0,26.0
ETN,45,42.2,1.45,6532.0,32.0
HUBB,45,48.9,1.45,6515.0,29.0
FE,50,44.0,1.29,6472.0,31.0
QCOM,44,38.6,1.46,6438.0,29.0
VRSK,41,41.5,1.57,6427.0,33.0
COF,44,43.2,1.45,6398.0,30.0
PGR,46,41.3,1.38,6353.0,30.0
A,48,47.9,1.32,6347.0,30.0
NEE,46,52.2,1.37,6297.0,34.0
BRK-B,52,50.0,1.21,6270.0,28.0
MCK,46,43.5,1.35,6225.0,28.0
BNY,41,56.1,1.51,6205.0,34.0
WRB,45,48.9,1.37,6180.0,31.0
PM,49,38.8,1.23,6038.0,25.0
BAC,43,55.8,1.4,6033.0,33.0
WMT,53,47.2,1.12,5921.0,31.0
HD,43,48.8,1.36,5862.0,31.0
ITW,44,47.7,1.33,5839.0,31.0
EVRG,48,50.0,1.21,5828.0,32.0
DTE,45,62.2,1.29,5813.0,34.0
BR,46,45.7,1.26,5811.0,34.0
IEX,47,44.7,1.22,5755.0,28.0
GD,55,41.8,1.04,5721.0,25.0
BMY,45,48.9,1.27,5716.0,29.0
BALL,49,40.8,1.16,5706.0,28.0
VRSN,52,36.5,1.09,5674.0,28.0
NOW,48,39.6,1.18,5650.0,27.0
PTC,51,43.1,1.1,5586.0,25.0
UHS,45,35.6,1.24,5575.0,25.0
LULU,37,48.6,1.51,5573.0,31.0
JNJ,48,45.8,1.15,5535.0,30.0
AMP,43,55.8,1.28,5524.0,29.0
ICE,58,41.4,0.94,5474.0,27.0
ALL,51,39.2,1.06,5407.0,28.0
COO,45,37.8,1.2,5397.0,25.0
EXC,48,54.2,1.12,5365.0,30.0
GDDY,43,39.5,1.21,5220.0,29.0
ADSK,47,46.8,1.11,5194.0,28.0
LYB,42,42.9,1.23,5158.0,31.0
COR,46,43.5,1.12,5129.0,31.0
ALB,39,51.3,1.31,5122.0,26.0
AMT,42,38.1,1.21,5067.0,32.0
FDX,47,34.0,1.06,4988.0,27.0
AVY,45,40.0,1.11,4988.0,27.0
TGT,49,42.9,1.02,4974.0,26.0
NI,53,54.7,0.94,4958.0,30.0
XEL,45,57.8,1.1,4943.0,32.0
BSX,43,39.5,1.15,4941.0,28.0
